Id,Sentiment Labels for ChatGPT Answers,Sentiment Labels for SO Answers
80,Neutral,Neutral
90,Neutral,Neutral
120,Neutral,Neutral
180,Neutral,Neutral
260,Neutral,Neutral
330,Neutral,Neutral
470,Neutral,Positive
580,Neutral,Neutral
650,Neutral,Neutral
810,Positive,Neutral
930,Neutral,Neutral
1010,Neutral,Neutral
1040,Neutral,Neutral
1070,Neutral,Neutral
1160,Neutral,Neutral
1180,Neutral,Neutral
1300,Neutral,Neutral
1390,Neutral,Neutral
1600,Neutral,Neutral
1610,Neutral,Neutral
1760,Neutral,Neutral
1790,Neutral,Neutral
1970,Neutral,Positive
2120,Neutral,Neutral
2250,Neutral,Neutral
2300,Neutral,Neutral
2530,Neutral,Neutral
2540,Neutral,Positive
2550,Neutral,Neutral
2630,Neutral,Positive
2750,Neutral,Neutral
2770,Neutral,Positive
2780,Neutral,Neutral
2840,Positive,Neutral
2900,Neutral,Neutral
2970,Neutral,Negative
3150,Neutral,Neutral
3180,Neutral,Neutral
3230,Neutral,Neutral
3260,Neutral,Neutral
3400,Neutral,Neutral
3470,Neutral,Positive
3510,Neutral,Neutral
3530,Neutral,Neutral
3790,Neutral,Neutral
4080,Neutral,Neutral
4110,Neutral,Positive
4170,Neutral,Neutral
4230,Neutral,Neutral
4320,Neutral,Neutral
4430,Neutral,Neutral
4610,Neutral,Neutral
4630,Neutral,Neutral
4670,Neutral,Positive
4850,Neutral,Neutral
4860,Neutral,Neutral
4870,Neutral,Neutral
4880,Neutral,Neutral
4930,Neutral,Neutral
5170,Neutral,Positive
5260,Neutral,Neutral
5460,Neutral,Neutral
5600,Neutral,Neutral
5690,Neutral,Neutral
5880,Neutral,Neutral
6080,Neutral,Neutral
6110,Neutral,Neutral
6130,Neutral,Neutral
6210,Positive,Neutral
6340,Neutral,Neutral
6430,Neutral,Neutral
6440,Neutral,Neutral
6530,Neutral,Neutral
6890,Neutral,Neutral
7180,Neutral,Neutral
7190,Neutral,Neutral
7260,Neutral,Neutral
7440,Neutral,Positive
7470,Negative,Neutral
7540,Neutral,Neutral
7720,Neutral,Neutral
7880,Neutral,Neutral
7940,Neutral,Neutral
7990,Neutral,Neutral
8050,Neutral,Positive
8140,Neutral,Neutral
8790,Neutral,Neutral
8800,Neutral,Neutral
8830,Neutral,Neutral
8880,Neutral,Neutral
8940,Neutral,Neutral
8950,Neutral,Neutral
8970,Neutral,Neutral
9240,Neutral,Neutral
9410,Neutral,Neutral
9570,Neutral,Neutral
9650,Neutral,Neutral
9750,Neutral,Positive
10190,Neutral,Neutral
10230,Neutral,Neutral
10260,Neutral,Positive
10300,Neutral,Neutral
10580,Neutral,Neutral
10600,Neutral,Positive
10610,Neutral,Neutral
10670,Neutral,Neutral
10680,Neutral,Neutral
10810,Neutral,Neutral
10860,Neutral,Neutral
10870,Neutral,Neutral
10880,Neutral,Neutral
10980,Neutral,Neutral
10990,Neutral,Neutral
11060,Neutral,Neutral
11200,Neutral,Neutral
11330,Neutral,Neutral
11430,Neutral,Neutral
11460,Neutral,Neutral
11500,Neutral,Positive
11520,Neutral,Neutral
11620,Neutral,Neutral
11680,Neutral,Positive
11690,Neutral,Neutral
11720,Neutral,Neutral
11740,Neutral,Neutral
11820,Neutral,Neutral
11930,Neutral,Neutral
11950,Neutral,Positive
12140,Neutral,Neutral
12290,Negative,Neutral
12330,Neutral,Positive
12720,Neutral,Neutral
12870,Neutral,Neutral
12880,Neutral,Neutral
12890,Neutral,Neutral
13000,Neutral,Neutral
13060,Neutral,Neutral
13160,Neutral,Neutral
13170,Neutral,Neutral
13200,Neutral,Neutral
13430,Neutral,Positive
13460,Neutral,Neutral
13470,Neutral,Neutral
13540,Neutral,Neutral
13550,Neutral,Neutral
13620,Neutral,Neutral
14040,Neutral,Neutral
14300,Neutral,Neutral
14310,Neutral,Neutral
14330,Neutral,Neutral
14350,Neutral,Neutral
14370,Neutral,Neutral
14410,Neutral,Neutral
14530,Neutral,Positive
14570,Neutral,Neutral
14760,Neutral,Neutral
14770,Neutral,Neutral
15040,Neutral,Neutral
15190,Neutral,Negative
15240,Neutral,Neutral
15310,Neutral,Positive
15390,Neutral,Neutral
15470,Neutral,Neutral
15690,Neutral,Neutral
15700,Neutral,Neutral
15880,Neutral,Neutral
15900,Neutral,Neutral
16100,Neutral,Negative
16110,Neutral,Neutral
16140,Neutral,Neutral
16320,Neutral,Neutral
16330,Neutral,Neutral
16340,Neutral,Neutral
16460,Neutral,Neutral
16550,Neutral,Positive
16610,Neutral,Neutral
16660,Neutral,Neutral
16770,Neutral,Neutral
16860,Neutral,Neutral
16940,Neutral,Neutral
16970,Neutral,Neutral
17020,Neutral,Neutral
17140,Neutral,Neutral
17170,Neutral,Neutral
17250,Neutral,Neutral
17320,Neutral,Neutral
17370,Neutral,Neutral
17430,Neutral,Positive
17500,Neutral,Neutral
17670,Neutral,Neutral
17770,Neutral,Positive
17840,Neutral,Neutral
17870,Neutral,Neutral
17880,Neutral,Neutral
17960,Neutral,Neutral
17980,Neutral,Neutral
18010,Neutral,Neutral
18080,Neutral,Neutral
18250,Neutral,Neutral
18290,Neutral,Positive
18450,Neutral,Neutral
18460,Neutral,Neutral
18700,Neutral,Positive
18920,Neutral,Neutral
19030,Neutral,Neutral
19280,Neutral,Neutral
19790,Neutral,Neutral
19970,Neutral,Neutral
20040,Neutral,Negative
20420,Neutral,Neutral
20450,Neutral,Neutral
20510,Neutral,Neutral
20840,Neutral,Neutral
20850,Neutral,Neutral
20880,Neutral,Neutral
20910,Neutral,Neutral
21060,Neutral,Neutral
21280,Neutral,Neutral
21460,Neutral,Neutral
